layup,specimen,cycles,load_kips,condition,boundary_code,boundary_label,repetition,actuator,sensor,path_id,excitation_amplitude,excitation_frequency_khz,gain,sampling_rate_mhz,filename,amplitude_max,amplitude_min,amplitude_pp,rms,energy,mean,std,variance,skewness,kurtosis,zero_crossing_rate,dominant_frequency,spectral_centroid,spectral_bandwidth,envelope_max,envelope_mean,toa_index,signal_length
1,11,0,0.0,Baseline,0,baseline,0,1,7,1-7,65.0,150.0,33.0,1200000.0,L1S11_0_0.mat,-4.937716902020384e-14,-4.937716902020384e-14,0.0,4.937716902020384e-14,2.4381048204497776e-27,-4.937716902020384e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.937716902020384e-14,4.937716902020384e-14,1,1
1,11,0,0.0,Baseline,0,baseline,0,1,7,1-7,65.0,200.0,34.0,1200000.0,L1S11_0_0.mat,2.461138931542095e-14,2.461138931542095e-14,0.0,2.461138931542095e-14,6.057204840352165e-28,2.461138931542095e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.461138931542095e-14,2.461138931542095e-14,1,1
1,11,0,0.0,Baseline,0,baseline,0,1,7,1-7,65.0,250.0,30.0,1200000.0,L1S11_0_0.mat,-1.9817480989559044e-14,-1.9817480989559044e-14,0.0,1.9817480989559044e-14,3.927325527715341e-28,-1.9817480989559044e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9817480989559044e-14,1.9817480989559044e-14,1,1
1,11,0,0.0,Baseline,0,baseline,0,1,7,1-7,35.0,300.0,21.0,1200000.0,L1S11_0_0.mat,2.0750762219634566e-14,2.0750762219634566e-14,0.0,2.0750762219634566e-14,4.305941326958133e-28,2.0750762219634566e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0750762219634566e-14,2.0750762219634566e-14,1,1
1,11,0,0.0,Baseline,0,baseline,0,1,7,1-7,35.0,350.0,20.0,1200000.0,L1S11_0_0.mat,3.000637932570882e-15,3.000637932570882e-15,0.0,3.000637932570882e-15,9.003828002383257e-30,3.000637932570882e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000637932570882e-15,3.000637932570882e-15,1,1
1,11,0,0.0,Baseline,0,baseline,0,1,7,1-7,35.0,400.0,20.0,1200000.0,L1S11_0_0.mat,5.7870375158586285e-15,5.7870375158586285e-15,0.0,5.7870375158586285e-15,3.3489803209955206e-29,5.7870375158586285e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7870375158586285e-15,5.7870375158586285e-15,1,1
1,11,0,0.0,Baseline,0,baseline,0,1,7,1-7,50.0,450.0,20.0,1200000.0,L1S11_0_0.mat,5.980892864299037e-15,5.980892864299037e-15,0.0,5.980892864299037e-15,3.5771079454223135e-29,5.980892864299037e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.980892864299037e-15,5.980892864299037e-15,1,1
1,11,0,0.502,loaded,1,loaded,1,1,7,1-7,65.0,150.0,33.0,1200000.0,L1S11_0_1_1.mat,1.6459056340067946e-14,1.6459056340067946e-14,0.0,1.6459056340067946e-14,2.7090053560553084e-28,1.6459056340067946e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6459056340067946e-14,1.6459056340067946e-14,1,1
1,11,0,0.502,loaded,1,loaded,1,1,7,1-7,65.0,200.0,34.0,1200000.0,L1S11_0_1_1.mat,-4.214499842863928e-14,-4.214499842863928e-14,0.0,4.214499842863928e-14,1.7762008925500074e-27,-4.214499842863928e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.214499842863928e-14,4.214499842863928e-14,1,1
1,11,0,0.502,loaded,1,loaded,1,1,7,1-7,65.0,250.0,30.0,1200000.0,L1S11_0_1_1.mat,-3.1329105976141136e-14,-3.1329105976141136e-14,0.0,3.1329105976141136e-14,9.815128812642822e-28,-3.1329105976141136e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1329105976141136e-14,3.1329105976141136e-14,1,1
1,11,0,0.502,loaded,1,loaded,1,1,7,1-7,35.0,300.0,21.0,1200000.0,L1S11_0_1_1.mat,-5.7098423211776606e-15,-5.7098423211776606e-15,0.0,5.7098423211776606e-15,3.2602299332711495e-29,-5.7098423211776606e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7098423211776606e-15,5.7098423211776606e-15,1,1
